CET;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max Wind SpeedKm/h; Mean Wind SpeedKm/h;Precipitationmm; Events;WindDirDegrees
01/01/1997;7;4;2;100;95;76;1010;1008;1004;13;6;0;;229
02/01/1997;7;3;0;100;92;71;1007;1003;997;26;8;0;Rain;143
03/01/1997;5;3;2;100;85;70;1005;999;996;27;19;0;Rain-Snow;256
04/01/1997;7;3;-1;86;63;49;1012;1010;1005;27;19;0;;284
05/01/1997;2;0;-1;100;95;86;1012;1008;1005;14;6;0;Snow;2
06/01/1997;7;3;1;100;82;57;1014;1010;1008;11;5;0;;64
07/01/1997;2;0;-2;100;93;75;1016;1014;1009;6;2;0;Snow;43
08/01/1997;8;4;1;100;96;87;1015;1005;1003;26;8;0;Rain;273
09/01/1997;12;10;8;100;65;44;1015;1008;1003;48;23;0;Rain;274
10/01/1997;13;8;3;93;83;63;1021;1018;1016;13;5;0;;100
11/01/1997;16;10;5;100;90;67;1024;1022;1021;11;2;0;Fog;344
12/01/1997;17;10;3;100;84;55;1024;1022;1020;14;8;0;;345
13/01/1997;15;9;4;100;75;38;1022;1021;1019;11;2;0;Fog;128
14/01/1997;11;6;0;100;81;50;1022;1020;1019;14;2;0;;35
15/01/1997;11;8;5;100;83;62;1021;1019;1018;10;3;0;Rain;16
16/01/1997;12;9;6;100;89;72;1019;1017;1015;24;5;0;;63
17/01/1997;13;9;5;100;78;47;1022;1018;1015;27;13;0;Rain;267
18/01/1997;6;3;2;100;98;93;1022;1019;1015;8;2;0;Rain;357
19/01/1997;9;7;6;100;97;87;1015;1011;1004;14;8;0;Rain;99
20/01/1997;9;7;5;100;100;100;1008;1005;1003;13;5;0;Rain;320
21/01/1997;10;8;6;100;89;71;1013;1011;1009;8;3;0;;65
22/01/1997;13;8;3;100;85;58;1018;1016;1015;11;3;0;Rain;33
23/01/1997;12;10;9;100;96;82;1018;1014;1013;10;5;0;Rain;29
24/01/1997;13;10;7;100;90;67;1025;1021;1018;11;6;0;Rain;357
25/01/1997;12;9;7;100;89;76;1025;1024;1023;10;3;0;;358
26/01/1997;14;9;5;100;83;55;1026;1025;1024;6;2;0;;180
27/01/1997;15;8;2;100;84;55;1028;1027;1026;10;2;0;Fog;5
28/01/1997;14;10;6;93;74;48;1028;1027;1024;11;6;0;;1
29/01/1997;11;8;5;100;83;67;1029;1027;1026;26;6;0;;140
30/01/1997;15;11;8;100;80;59;1031;1030;1029;11;6;0;;38
31/01/1997;14;9;4;100;87;67;1030;1029;1027;6;0;0;;34
01/02/1997;12;9;6;100;95;77;1029;1028;1027;8;0;0;Fog;0
02/02/1997;13;9;5;100;93;72;1028;1026;1025;10;0;0;Fog-Rain;155
03/02/1997;13;10;7;100;76;47;1026;1025;1024;10;3;0;Fog-Rain;72
