,Precio,Título,Combustible,Cambio,Potencia,Año,kilometraje,B
0,11999,Renault Clio 2017,Gasolina,Manual,75,2017,67000,Gasolina
1,5499,Renault Scenic Diesel 1.5dci 2010,Diésel,Manual,110,2010,200000,Diésel
2,7000,Renault mascoot 2006,Diésel,Manual,160,2006,561055,Diésel
3,14890,Renault Megane,Diésel,Manual,110,2018,66258,Diésel
4,20990,Renault Espace,Diésel,Manual,130,2016,84258,Diésel
5,11500,Renault Megane 2017,Diésel,Manual,90,2017,91975,Diésel
6,14099,Renault Clio Limited Energy dCi,Diésel,Manual,90,2018,18669,Diésel
7,9999,Renault Clio 1.2 Limited,Gasolina,Manual,73,2017,131208,Gasolina
8,15990,Renault Clio GLP,Otros,Manual,101,2020,54984,Otros
9,9999,Renault Clio Technofeel TCe 90,Gasolina,Manual,90,2015,96940,Gasolina
10,10599,Renault Clio 1.2 Limited,Gasolina,Manual,73,2016,65714,Gasolina
11,10299,Renault Captur Zen Energy TCe 90,Gasolina,Manual,90,2013,67871,Gasolina
12,10399,Renault Scénic Selection Energy TCe 115,Gasolina,Manual,115,2014,53591,Gasolina
13,14199,Renault Captur 0.9 Energy TCe,Gasolina,Manual,90,2016,14175,Gasolina
14,16099,Renault Clio 1.0 TCe Zen,Gasolina,Manual,101,2020,16105,Gasolina
15,17199,Renault Captur 1.5 dCi Zen,Diésel,Manual,90,2019,23518,Diésel
16,12299,Renault Captur 1.2 TCe Zen,Gasolina,Automático,120,2014,97986,Gasolina
17,10899,Renault Clio 0.9 Energy Dynamique,Gasolina,Manual,90,2015,95459,Gasolina
18,9599,Renault Clio 1.5 dCi Dynamique,Diésel,Manual,90,2013,98511,Diésel
19,17699,Renault Megane 1.3 TCe Limited,Gasolina,Manual,140,2019,36194,Gasolina
20,15399,Renault Kadjar Zen Energy TCe 130,Gasolina,Manual,130,2016,125645,Gasolina
21,179,"Renault Clio, 179€",Diésel,Manual,90,2017,45675,Diésel
22,18699,Renault Captur 1.0 TCe Intens,Gasolina,Manual,91,2021,11347,Gasolina
23,8199,Renault Clio 0.9 TCe Technofeel,Gasolina,Manual,90,2015,140006,Gasolina
24,15799,Renault Megane 1.2 TCe Limited,Gasolina,Manual,130,2018,48949,Gasolina
25,12500,Renault Megane 2019,Diésel,Manual,115,2019,75000,Diésel
26,20999,Renault Kadjar 1.3 TCe Zen,Gasolina,Manual,140,2019,63563,Gasolina
27,9990,Renault Clio 2017 Business Energy dCi 55kW (75CV),Diésel,Manual,75,2017,144172,Diésel
29,1490,Renault Clio 2003,Diésel,Manual,65,2003,196665,Diésel
30,1990,Renault Clio 2004,Diésel,Manual,80,2004,110249,Diésel
31,8799,Renault Clio 1.5 dCi Energy Expression,Diésel,Manual,90,2014,142863,Diésel
32,21599,Renault Espace 1.6 dCi Energy Zen,Diésel,Automático,160,2017,92758,Diésel
33,21499,Renault Scénic 1.7 BLUE dCi Zen,Diésel,Automático,150,2020,48719,Diésel
34,19999,Renault Megane 1.5 dCi Life Blue,Diésel,Manual,116,2021,84203,Diésel
35,21399,Renault Scénic 1.3 TCe GPF Zen,Gasolina,Manual,140,2019,12350,Gasolina
36,6150,Renault Megane 2012,Diésel,Manual,110,2012,209614,Diésel
37,14499,Renault Megane 1.2 TCe Energy Zen,Gasolina,Manual,132,2017,67077,Gasolina
38,17799,Renault Megane 1.5 Blue dCi Zen,Diésel,Manual,116,2019,62475,Diésel
39,14199,Renault Megane 1.2 TCe Energy Zen,Gasolina,Manual,132,2016,91010,Gasolina
40,18899,Renault Kadjar 1.2 TCe Energy Zen,Gasolina,Automático,130,2017,51147,Gasolina
41,14999,Renault Megane 1.2 TCe Energy Zen,Gasolina,Manual,132,2016,71008,Gasolina
42,15499,Renault Scénic 1.6 dCi Energy Zen,Diésel,Manual,130,2017,103095,Diésel
43,16499,Renault Talisman 1.5 dCi Energy Intens,Diésel,Manual,110,2017,45902,Diésel
44,15399,Renault Kadjar 1.5 dCi Energy Zen,Diésel,Automático,110,2015,115589,Diésel
45,13899,Renault Captur 1.5 dCi Energy Xmod,Diésel,Manual,90,2018,154810,Diésel
46,10799,Renault Clio 1.5 dCi Energy Business,Diésel,Manual,75,2017,75294,Diésel
47,17099,Renault Megane 1.5 Blue dCi Limited,Diésel,Manual,116,2019,45653,Diésel
48,14299,Renault Megane 1.2 TCe Energy Zen,Gasolina,Manual,132,2017,101633,Gasolina
49,18799,Renault Megane 1.3 ST TCe Limited,Gasolina,Manual,116,2019,33045,Gasolina
50,5599,Renault Grand Modus 1.5 dCi Evolution,Diésel,Manual,88,2011,127413,Diésel
51,20199,Renault Grand Scénic 1.3 TCe Zen,Gasolina,Manual,140,2019,70792,Gasolina
52,16599,Renault Espace 1.6 dCi Zen Energy,Diésel,Automático,160,2015,151353,Diésel
53,16199,Renault Megane 1.2 TCe Energy Zen,Gasolina,Automático,132,2017,46302,Gasolina
54,17799,Renault Megane 1.2 TCe Energy Zen,Gasolina,Automático,132,2018,48380,Gasolina
55,18099,Renault Espace 1.6 dCi Energy Zen,Diésel,Automático,160,2016,120836,Diésel
56,6150,Renault Megane 2012,Diésel,Manual,110,2012,209614,Diésel
57,25990,Renault ZOE 51 kW EXPERIENCE,Eléctrico,Automático,80,2020,12500,Eléctrico
58,8099,Renault Clio Authentique 1.2 16v 75,Gasolina,Manual,75,2014,70300,Gasolina
59,9499,Renault Clio 1.2 75 Euro 6 Expression,Gasolina,Manual,73,2015,91593,Gasolina
60,19599,Renault Kadjar 1.6 dCi Energy Tech Road,Diésel,Manual,130,2018,53873,Diésel
61,10999,Renault Megane 1.2 TCe Energy BOSE Edition,Gasolina,Manual,132,2014,99923,Gasolina
62,29399,Renault Arkana 1.6 Hybrid E-Tech Zen,,Automático,143,2022,5225,Hybrid
63,22499,Renault Espace 1.6 dCi Energy Initiale Paris,Diésel,Automático,160,2017,126350,Diésel
64,6899,Renault Clio 1.5 dCi Expression eco2,Diésel,Manual,88,2011,121855,Diésel
65,17299,Renault Grand Scénic 1.5 dCi Energy Zen,Diésel,Manual,110,2017,91664,Diésel
66,17199,Renault Grand Scénic 1.2 TCe Energy Zen,Gasolina,Manual,132,2017,111421,Gasolina
67,15490,Renault Captur LIMITED TCE 90CV,Gasolina,Manual,90,2019,81530,Gasolina
68,8900,"Renault Clio, 110€ SIN ENTRADA!!",Diésel,Manual,90,2015,112197,Diésel
70,2950,Renault Megane Pegatina B,Gasolina,Manual,115,2003,130000,Gasolina
71,13500,Renault Twingo 2020 Intens SCe 55kW (75CV) GPF,Gasolina,Manual,75,2020,6000,Gasolina
72,9399,Renault Clio Business Energy dCi 55kW 75cv,Diésel,Manual,75,2017,110139,Diésel
73,10499,Renault Megane 1.2 S&S TCe Limited Energy,Gasolina,Manual,115,2015,78363,Gasolina
74,26999,Renault Arkana 1.3 Zen TCe EDC Mild Hybrid,,Automático,140,2022,3257,Hybrid
75,6000,"Renault Clio 2006 full equipe automático, con GLP",Otros,Automático,110,2006,168000,Otros
76,25699,Renault Captur 1.6 E-Tech Híbrido enchufable Zen,,Automático,158,2020,32215,Hybrid
77,11599,Renault Clio Limited Energy TCe 66kW 90CV,Gasolina,Manual,90,2017,72792,Gasolina
78,4400,Renault Scénic 1.9DCI,Diésel,Manual,120,2005,156000,Diésel
79,21799,Renault Megane Sport Tourer 1.6 TCe Energy GT,Gasolina,Automático,205,2018,57917,Gasolina
80,3200,Renault Clio 1.5dCi 65,Diésel,Manual,65,2003,227000,Diésel
82,10299,Renault Kangoo Profesional M1AF Energy dCi 90CV,Diésel,Manual,90,2017,159904,Diésel
83,18399,Renault Clio Zen TCe GPF 96kW 130cv EDC,Gasolina,Automático,131,2020,18677,Gasolina
84,20499,Renault Grand Scénic 1.3 TCe EDC GPF SS Zen,Gasolina,Automático,140,2019,87636,Gasolina
