"Id","MSZoning","LotFrontage","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","PoolArea","PoolQC","Fence","MiscFeature","YrSold","SaleType","SaleCondition","SalePrice","Crisis","MSSubClass","LotArea","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","TotRmsAbvGrd","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","MiscVal","MoSold","Reforma","outlier"
1,"RL",65,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,2,1,3,1,"Gd","Typ",0,NA,"Attchd",2003,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",208500,"Burbuja",60,8450,2003,2003,706,0,150,856,856,854,0,1710,8,548,0,61,0,0,0,0,2,5,FALSE
2,"RL",80,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","GasA","Ex","Y","SBrkr",0,1,2,0,3,1,"TA","Typ",1,"TA","Attchd",1976,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2007,"WD","Normal",181500,"Crisis",20,9600,1976,1976,978,0,284,1262,1262,0,0,1262,6,460,298,0,0,0,0,0,5,31,FALSE
3,"RL",68,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,2,1,3,1,"Gd","Typ",1,"TA","Attchd",2001,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",223500,"Burbuja",60,11250,2001,2002,486,0,434,920,920,866,0,1786,6,608,0,42,0,0,0,0,9,6,FALSE
4,"RL",60,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ","Unf","GasA","Gd","Y","SBrkr",1,0,1,0,3,1,"Gd","Typ",1,"Gd","Detchd",1998,"Unf",3,"TA","TA","Y",0,NA,NA,NA,2006,"WD","Abnorml",140000,"Crisis",70,9550,1915,1970,216,0,540,756,961,756,0,1717,7,642,0,35,272,0,0,0,2,36,TRUE
5,"RL",84,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,2,1,4,1,"Gd","Typ",1,"TA","Attchd",2000,"RFn",3,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",250000,"Burbuja",60,14260,2000,2000,655,0,490,1145,1145,1053,0,2198,9,836,192,84,0,0,0,0,12,8,TRUE
6,"RL",85,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,1,1,1,1,"TA","Typ",0,NA,"Attchd",1993,"Unf",2,"TA","TA","Y",0,NA,"MnPrv","Shed",2009,"WD","Normal",143000,"Burbuja",50,14115,1993,1995,732,0,64,796,796,566,0,1362,5,480,40,30,0,320,0,700,10,14,TRUE
7,"RL",75,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,2,0,3,1,"Gd","Typ",1,"Gd","Attchd",2004,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2007,"WD","Normal",307000,"Crisis",20,10084,2004,2005,1369,0,317,1686,1694,0,0,1694,7,636,255,57,0,0,0,0,8,2,TRUE
8,"RL",NA,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ","GasA","Ex","Y","SBrkr",1,0,2,1,3,1,"TA","Typ",2,"TA","Attchd",1973,"RFn",2,"TA","TA","Y",0,NA,NA,"Shed",2009,"WD","Normal",200000,"Burbuja",60,10382,1973,1973,859,32,216,1107,1107,983,0,2090,7,484,235,204,228,0,0,350,11,36,TRUE
9,"RM",51,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","FuseF",0,0,2,0,2,2,"TA","Min1",2,"TA","Detchd",1931,"Unf",2,"Fa","TA","Y",0,NA,NA,NA,2008,"WD","Abnorml",129900,"Burbuja",50,6120,1931,1950,0,0,952,952,1022,752,0,1774,8,468,90,0,205,0,0,0,4,58,TRUE
10,"RL",50,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,1,0,2,2,"TA","Typ",2,"TA","Attchd",1939,"RFn",1,"Gd","TA","Y",0,NA,NA,NA,2008,"WD","Normal",118000,"Burbuja",190,7420,1939,1950,851,0,140,991,1077,0,0,1077,5,205,0,4,0,0,0,0,1,58,TRUE
11,"RL",70,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr",1,0,1,0,3,1,"TA","Typ",0,NA,"Detchd",1965,"Unf",1,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",129500,"Burbuja",20,11200,1965,1965,906,0,134,1040,1040,0,0,1040,5,384,0,0,0,0,0,0,2,43,FALSE
12,"RL",85,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,3,0,4,1,"Ex","Typ",2,"Gd","BuiltIn",2005,"Fin",3,"TA","TA","Y",0,NA,NA,NA,2006,"New","Partial",345000,"Crisis",60,11924,2005,2006,998,0,177,1175,1182,1142,0,2324,11,736,147,21,0,0,0,0,7,0,TRUE
13,"RL",NA,"Pave",NA,"IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","TA","Y","SBrkr",1,0,1,0,2,1,"TA","Typ",0,NA,"Detchd",1962,"Unf",1,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",144000,"Burbuja",20,12968,1962,1962,737,0,175,912,912,0,0,912,4,352,140,0,0,0,176,0,9,46,TRUE
14,"RL",91,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,2,0,3,1,"Gd","Typ",1,"Gd","Attchd",2006,"RFn",3,"TA","TA","Y",0,NA,NA,NA,2007,"New","Partial",279500,"Crisis",20,10652,2006,2007,0,0,1494,1494,1494,0,0,1494,7,840,160,33,0,0,0,0,8,0,TRUE
15,"RL",NA,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","TA","Y","SBrkr",1,0,1,1,2,1,"TA","Typ",1,"Fa","Attchd",1960,"RFn",1,"TA","TA","Y",0,NA,"GdWo",NA,2008,"WD","Normal",157000,"Burbuja",20,10920,1960,1960,733,0,520,1253,1253,0,0,1253,5,352,0,213,176,0,0,0,5,48,TRUE
16,"RM",51,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","FuseA",0,0,1,0,2,1,"TA","Typ",0,NA,"Detchd",1991,"Unf",2,"TA","TA","Y",0,NA,"GdPrv",NA,2007,"WD","Normal",132000,"Crisis",45,6120,1929,2001,0,0,832,832,854,0,0,854,5,576,48,112,0,0,0,0,7,6,FALSE
17,"RL",NA,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Ex","Y","SBrkr",1,0,1,0,2,1,"TA","Typ",1,"TA","Attchd",1970,"Fin",2,"TA","TA","Y",0,NA,NA,"Shed",2010,"WD","Normal",149000,"Burbuja",20,11241,1970,1970,578,0,426,1004,1004,0,0,1004,5,480,0,0,0,0,0,700,3,40,FALSE
18,"RL",72,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab",NA,NA,NA,NA,NA,"GasA","TA","Y","SBrkr",0,0,2,0,2,2,"TA","Typ",0,NA,"CarPort",1967,"Unf",2,"TA","TA","Y",0,NA,NA,"Shed",2006,"WD","Normal",90000,"Crisis",90,10791,1967,1967,0,0,0,0,1296,0,0,1296,6,516,0,0,0,0,0,500,10,39,TRUE
19,"RL",66,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,1,1,3,1,"Gd","Typ",0,NA,"Detchd",2004,"Unf",2,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",159000,"Burbuja",20,13695,2004,2004,646,0,468,1114,1114,0,0,1114,6,576,0,102,0,0,0,0,6,4,FALSE
20,"RL",70,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","TA","Y","SBrkr",0,0,1,0,3,1,"TA","Min1",0,NA,"Attchd",1958,"Unf",1,"TA","TA","Y",0,NA,"MnPrv",NA,2009,"COD","Abnorml",139000,"Burbuja",20,7560,1958,1965,504,0,525,1029,1339,0,0,1339,6,294,0,0,0,0,0,0,5,44,FALSE
21,"RL",101,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,3,1,4,1,"Gd","Typ",1,"Gd","BuiltIn",2005,"RFn",3,"TA","TA","Y",0,NA,NA,NA,2006,"New","Partial",325300,"Crisis",60,14215,2005,2006,0,0,1158,1158,1158,1218,0,2376,9,853,240,154,0,0,0,0,11,0,FALSE
22,"RM",57,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf","Unf","GasA","Ex","Y","FuseF",0,0,1,0,3,1,"Gd","Typ",1,"Gd","Attchd",1930,"Unf",1,"TA","TA","N",0,NA,"GdPrv",NA,2007,"WD","Normal",139400,"Crisis",45,7449,1930,1950,0,0,637,637,1108,0,0,1108,6,280,0,0,205,0,0,0,6,57,TRUE
23,"RL",75,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,2,0,3,1,"Gd","Typ",1,"Gd","Attchd",2002,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",230000,"Burbuja",20,9742,2002,2002,0,0,1777,1777,1795,0,0,1795,7,534,171,159,0,0,0,0,9,6,TRUE
24,"RM",44,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","TA","Y","SBrkr",1,0,1,0,3,1,"TA","Typ",1,"TA","Attchd",1976,"Unf",2,"TA","TA","Y",0,NA,NA,NA,2007,"WD","Normal",129900,"Crisis",120,4224,1976,1976,840,0,200,1040,1060,0,0,1060,6,572,100,110,0,0,0,0,6,31,FALSE
25,"RL",NA,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec","ALQ","GasA","Ex","Y","SBrkr",1,0,1,0,3,1,"Gd","Typ",1,"TA","Attchd",1968,"Unf",1,"TA","TA","Y",0,NA,"MnPrv",NA,2010,"WD","Normal",154000,"Burbuja",20,8246,1968,2001,188,668,204,1060,1060,0,0,1060,6,270,406,90,0,0,0,0,5,9,TRUE
26,"RL",110,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,2,0,3,1,"Gd","Typ",1,"Gd","Attchd",2007,"RFn",3,"TA","TA","Y",0,NA,NA,NA,2009,"WD","Normal",256300,"Burbuja",20,14230,2007,2007,0,0,1566,1566,1600,0,0,1600,7,890,0,56,0,0,0,0,7,2,TRUE
27,"RL",60,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ","Rec","GasA","TA","Y","SBrkr",0,1,1,0,3,1,"Gd","Typ",0,NA,"Detchd",2005,"Unf",2,"TA","TA","Y",0,NA,NA,NA,2010,"WD","Normal",134800,"Burbuja",20,7200,1951,2000,234,486,180,900,900,0,0,900,5,576,222,32,0,0,0,0,5,10,TRUE
28,"RL",98,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,2,0,3,1,"Gd","Typ",1,"Gd","Attchd",2008,"RFn",3,"TA","TA","Y",0,NA,NA,NA,2010,"WD","Normal",306000,"Burbuja",20,11478,2007,2008,1218,0,486,1704,1704,0,0,1704,7,772,0,50,0,0,0,0,5,2,FALSE
29,"RL",47,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ","Unf","GasA","TA","Y","SBrkr",1,0,1,0,2,1,"TA","Typ",2,"Gd","Attchd",1957,"RFn",1,"TA","TA","Y",0,NA,NA,NA,2006,"WD","Normal",207500,"Crisis",20,16321,1957,1997,1277,0,207,1484,1600,0,0,1600,6,319,288,258,0,0,0,0,12,9,TRUE
30,"RM",60,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Fa","N","SBrkr",0,0,1,0,1,1,"Fa","Typ",0,NA,"Detchd",1920,"Unf",1,"Fa","TA","Y",0,NA,NA,NA,2008,"WD","Normal",68500,"Burbuja",30,6324,1927,1950,0,0,520,520,520,0,0,520,4,240,49,0,87,0,0,0,5,58,FALSE
31,"C",50,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf","Unf","GasA","TA","N","SBrkr",0,0,1,0,3,1,"TA","Typ",0,NA,"Detchd",1920,"Unf",1,"TA","Fa","N",0,NA,"MnPrv",NA,2008,"WD","Normal",40000,"Burbuja",70,8500,1920,1950,0,0,649,649,649,668,0,1317,6,250,0,54,172,0,0,0,7,58,TRUE
32,"RL",NA,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf","Unf","GasA","Gd","Y","SBrkr",0,0,1,1,3,1,"Gd","Typ",0,NA,"Attchd",1966,"Unf",1,"TA","TA","Y",0,NA,"MnPrv",NA,2008,"WD","Normal",149350,"Burbuja",20,8544,1966,2006,0,0,1228,1228,1228,0,0,1228,6,271,0,65,0,0,0,0,6,2,FALSE
33,"RL",85,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,2,0,3,1,"Gd","Typ",0,NA,"Attchd",2007,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2008,"WD","Normal",179900,"Burbuja",20,11049,2007,2007,0,0,1234,1234,1234,0,0,1234,7,484,0,30,0,0,0,0,1,1,FALSE
34,"RL",70,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr",0,1,1,1,4,1,"Gd","Typ",1,"Gd","Attchd",1959,"RFn",2,"TA","TA","Y",0,NA,NA,NA,2010,"WD","Normal",165500,"Burbuja",20,10552,1959,1959,1018,0,380,1398,1700,0,0,1700,6,447,0,38,0,0,0,0,4,51,FALSE
35,"RL",60,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr",1,0,2,0,2,1,"Ex","Typ",1,"Gd","Attchd",2005,"Fin",2,"TA","TA","Y",0,NA,NA,NA,2007,"WD","Normal",277500,"Crisis",120,7313,2005,2005,1153,0,408,1561,1561,0,0,1561,6,556,203,47,0,0,0,0,8,2,FALSE
36,"RL",108,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,3,1,4,1,"Gd","Typ",1,"Gd","BuiltIn",2004,"Fin",3,"TA","TA","Y",0,NA,NA,NA,2006,"WD","Normal",309000,"Crisis",60,13418,2004,2005,0,0,1117,1117,1132,1320,0,2452,9,691,113,32,0,0,0,0,9,1,TRUE
37,"RL",112,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr",0,0,1,1,3,1,"TA","Typ",0,NA,"Attchd",1995,"Unf",2,"TA","TA","Y",0,NA,NA,NA,2009,"WD","Normal",145000,"Burbuja",20,10859,1994,1995,0,0,1097,1097,1097,0,0,1097,6,672,392,64,0,0,0,0,6,14,TRUE
38,"RL",74,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Gd","Y","SBrkr",0,1,1,0,3,1,"TA","Typ",1,"TA","Attchd",1954,"Fin",2,"TA","TA","Y",0,NA,NA,NA,2009,"WD","Normal",153000,"Burbuja",20,8532,1954,1990,1213,0,84,1297,1297,0,0,1297,5,498,0,0,0,0,0,0,10,19,FALSE
39,"RL",68,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ","Unf","GasA","TA","Y","SBrkr",1,0,1,0,3,1,"Gd","Typ",0,NA,"Detchd",1953,"Unf",1,"TA","TA","Y",0,NA,NA,NA,2010,"WD","Abnorml",109000,"Burbuja",20,7922,1953,2007,731,0,326,1057,1057,0,0,1057,5,246,0,52,0,0,0,0,1,3,FALSE
40,"RL",65,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc",NA,NA,NA,NA,NA,"GasA","TA","N","FuseP",0,0,2,0,2,2,"Fa","Typ",0,NA,NA,NA,NA,0,NA,NA,"N",0,NA,NA,NA,2008,"WD","AdjLand",82000,"Burbuja",90,6040,1955,1955,0,0,0,0,1152,0,0,1152,6,0,0,0,0,0,0,0,6,53,TRUE
41,"RL",84,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr",0,0,2,0,3,1,"TA","Typ",1,"TA","Attchd",1965,"RFn",2,"TA","TA","Y",0,NA,"GdWo",NA,2006,"WD","Abnorml",160000,"Crisis",20,8658,1965,1965,643,0,445,1088,1324,0,0,1324,6,440,0,138,0,0,0,0,12,41,TRUE
42,"RL",115,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ","Unf","GasA","Gd","Y","SBrkr",0,1,1,1,2,1,"TA","Typ",2,"Gd","Attchd",1959,"RFn",1,"TA","TA","P",0,NA,NA,NA,2007,"WD","Normal",170000,"Crisis",20,16905,1959,1959,967,0,383,1350,1328,0,0,1328,5,308,0,104,0,0,0,0,7,48,FALSE
43,"RL",NA,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ","LwQ","GasA","Gd","Y","SBrkr",1,0,1,0,2,1,"Gd","Typ",0,NA,"Attchd",1983,"RFn",2,"TA","Gd","Y",0,NA,"MnPrv",NA,2007,"WD","Normal",144000,"Crisis",85,9180,1983,1983,747,93,0,840,884,0,0,884,5,504,240,0,0,0,0,0,12,24,TRUE
